idx,table_truncated,reference,pred_1 (deterministic),pred_1_faithfulness (0-5),pred_2 (sampled),pred_2_faithfulness (0-5),pred_3 (sampled),pred_3_faithfulness (0-5),notes
10,Argentine films of 1950 : Don Fulgencio...,"""Don Fulgencio"" is a 1950 Argentinian film.","Don Fulgencioio, a  film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film",,"Don Fulgencioio (Donencio) is one of the most notable Argentine films of 1950, directed by Francis Ardola and and starring by John Campbell, in 1950, 1951, 1957, and 1958, and 1969. The film was the first title, and Francis Ardola was responsible in 1950, 1951, 1957, and 1959.",,Don Fulgencioio is a film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film film,,
11,Date : 1956 | Bowl : Sun Bowl | Opponent : Texas Western | Result : W 13–0...,"In 1956, George Washington Colonials scored 13–0 against Texas Western at the Sun Bowl.","The 1966 Sun Bowl was held at the University of, Texas, Texas,, and the opponent, Texas Western, was defeated, Texas, with the team winning a 13–0. The Bowl was a of the most Bowl of football games in the United States and, in fact, the most Bowl of football games in the world.. The game was held at the University of, Texas, Texas, U, Texas, Texas, Texas,, Texas, Texas, Texas, Texas, U,.S...",,"The 1960 Sun Bowl, held in the University, Oklahoma, and Texas,, was the first West Bowl Bowl Bowl, and Texas, the first Bowl Western Bowl. Oklahoma, won it of the 1360s Bowl, and the 1970s Bowl, and the 1980s Bowl, and the 1990s Bowl, and the19900s Bowl, and the 19901s Bowl. with won 13–0.",,"The 1966 Sun Bowl was also known as the University of West Bowl, was played by the University of Texas, Austin, and the Cowboys, and was won with 113 by the University,, Austin the 13 by the Cowboys,. The  1966 Sun Bowl was played by the  University of Texas6, Austin Austin, and the Cowboys, and was won in 1966, was Austin with 113 by the University, Austin the 13 by0..",,
12,Year : 1990 | Title : Silent Scream | Award : Silver Bear | Category : Best Actor | Result : Won...,"In 1990, Glen won the Silver Bear for the Best Actor in the Silent Scream.","The  Scream, a silent1900 film directed by by Frank Spielberg, and starring by Richard, was the first film to win the the Silver Bear Best Best Actor and Best Actor Best Best Best Actor Best Best Best Actor Best Best Best Actor Best Best Actor Best Best Best Actor, Best Actor Best Best Best Actor Best Best Best Actor, Best Actor Best Best Best Actor Best Best Best Actor, Best Actor Best Best Best Actor Best Best Best Actor, Best Actor Best Best Best Actor Best Best Best Best Actor, Best Actor Best Best Best Actor Best Best Best Actor.",,"Silent9cream000 is a silver award in 1999 film, The film's silent Scream0000, directed by , ,,,, ,,,, ,, ,,,,, ,,,,, ,,, , ,, and , by , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Award.",,"Sil  Scream000 is a 1190 horror film directed by Steven Spielberg, and written by the author,, starring by, Spielberg,,,, and, Spielberg,, and produced by by, Spielberg, Spielberg, and, Spielberg Spielberg, and Spielberg, and Spielberg, and Spielberg, Spielberg, Spielberg Spielberg, and Spielberg, Spielberg, Spielberg Spielberg, Spielberg Spielberg Spielberg, Spielberg Spielberg Spielberg Spielberg, Spielberg Spielberg Spielberg Spielberg Spielberg won won Award for Best Actor in 1990.",,
13,"Date : Total | Attendance : 346,021 / 384,951 (90%) | Revenue : $43,563,050...","The Shania: Still the One grossed over $43 million from a total of 346,021.","The 2018 NBA season, with total attendance of 346,021 / 384,951 (90%), revenue of $43,563,050, was the 5 in the NBA NBA Championship, the NBA Championship, and the NBA Finals. This season saw the NBA of the Year, the NBA Finals in the Finals, and and the NBA Warriors in the Finals..",,"The 2018 NFL season season officially ended with a a total of 1,346,021, with an384,951 players,,90 90% of the total, and a $41,363,050 in revenue. The season ended with with a total of  attendance of 1,346,021 players, 90 90% of the total, and a revenue of $43,563,050.",,"The 2019 NFL season started January, January, February, March, March, April, April, April, April, April, April, April, April, April, October, October, October, October, October, October, November, November, November, November, November, November, November, November, November, November, November, November, November, November, November, November, November, November, November, November, November, November, November, November, November, November, November, November, November, November, November.",,
14,Team : Super Aguri Fernandez Racing | Rank : 14th | Year : 2005 | Team : Super Aguri Fernandez Racing | 14 : SNM 6 | 16 : WGL 6 | Rank : 14th...,"In 2005, Kosuke Matsuura again drove for Super Aguri Fernandez Racing, and again finished 14th with a best place finish of 6th in the two races.","Super Super Aguri Fernandez Racing, a Formula 1 team based in Valencia, Spain, finished in 14th in 2005 Formula 1 World Championship (SNM 6), and 14th Formula 1 World Championship (WGL 6), with  14th place in the 2005 Formula 1 World Championship (SNM 6) and 14th Formula 1 (WGL 6).",,"Super Aguriuri Fernandez Racing is a professional racing team that competed in the Formula 1 and Formula Formula 6. The Formula 1 position for Super Aguriuri Fernandez Racing is  40th place and the Formula Formula Formula 6 position was 14: SNM 6. The team won the Formula Formula Formula Formula 6 title in 2005, driving the Formula Formula Formula Formula 6 and 16: WGL 6. The, the Formula Formula Formula Formula 6 position is 14th place.",,"Super Super Aguri Fernandez Racing, a Formula 1 team based in Valencia, Spain, finished in 14th in 2005 Formula 1 World Championship (SNM 6), with a 14th in Formula 1 Grand Prix (WGL 6) and a 16th in Formula 1 Grand Prix (WGL 6). This is the team with 14 14 6 in 200 and  1 6 in 2005.",,
15,Nuclide : 131 I | Nuclide : 134 Cs | Nuclide : 137 Cs...,"The Iodine-131, Caesium-134 and Caesium-137 were released from the Fukushima Daiichi nuclear disaster.",The 1131 (11111113111111111111111111111111111111111111111111111111111111111111111111111111111111111111 isclide is 137 Cs.,,"The 111 Cs is131 I, the 134 Cs is137 Cs and the 137 Cs is131 I, and the 131 Cs is131 I, the 136 Cs is131 I, the 137 Cs is131 I, the 138 Cs is131 I, the 141 Cs is131 I and the 151 Cs is131 I.",,"1 31 I is a radioactive iod element,  is134 Cs is a radioactive carbon element, and 1337 is a radioactive silicon element. 131 I is a radioactive Iod element,, 134 Cs is a radioactive carbon element element, and 137 Cs is a radioactive silicon element element. 131 I is a radioactive Iod element, 134 Cs is a radioactive carbon element element, and 137 Cs is a radioactive silicon element element.",,
16,Year : 2014 | Award : 41st Daytime Creative Arts Emmy Awards | Category : Outstanding Original Song – Main Title and Promo...,"In 2014, the PAW Patrol theme song was nominated for Outstanding Original Song – Main Title and Promo in the 41st Daytime Creative Arts Emmy Awards.","On  20th4, the 411st Daytime Creative Arts Emmy Awards was the the the  of the  the  the the  the the the  the the the  the the the  the the the  the the the  the the the  the the the  the the the  the the the  the the the  the the the  the the the  the the the  the the the  the the the  the the the  the the the  the the the  the the the  the the the  the the the",,"In  2014, the Daytime Creative Arts category of Emmy Awards ceremony Awards the 41st winner with the Outstanding Original Outstanding Original and Promo title for the recording the song ""The Fall"" ("" by the band,,, ,, ,,,The, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, , , , ,.",,"On  20th January, in the Daytime Creative Arts Emmy Awards, the 41st award was the Outstanding Original Original Song – Main Title and Promo, with the song ""The Experience"" (""""""""""""''"" ("""""""""""""""""")"""""""""""""" ("""""""""""""""""""""""""""""""" ("""""""""""""""""""""""""""""""" ("""""""""""""""""""""""""""""""" ("""""""""""""""""""""""""""""""" ("""""""""""""""""""""""""""""""""""" ("""""") being the winner.",,
17,Party : Social Democratic Party | Seats : 81 | Party : Centre Party | Seats : 100 | Seats : 397...,"The Centre Party won 100 of the 397 seats, while the Social Democratic Party (SPD) won 81.","The 2 Party system in the UK, where the Social Democratic Party is seats, has a significant number of seats, with seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats",,"The 2019 UK election seats seats seats saw the Social Democratic Party with 81 seats seats, the Centre Party with 100 seats seats seats seats and 397 seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats seats",,"The 2010 Australian federal election saw significant participation, with Social Democratic Party receiving 81 seats, Centre Party with 100 seats, and the majority with 397 seats. the Social Party was led by the Greens, Party,,, and the Coalition Party Party, and the Centre Party was led by the Party,, and and the Liberal Party,, and the majority was led by the Greens Party, and the Liberal Party, with the seats majority of 397 seats.",,
18,Player : Bill Dinneen | ERA : 2.92 | Player : Jesse Tannehill | W : 13 | L : 11...,"Jesse Tannehill with winning record, at 13–11, while Bill Dinneen had the lowest ERA, at 2.92.","Bill Dinneen is a professional player who played a professional career, with an average rating of 2.92, and has a career of  13 years old and 11 years old. Jesse Tanneannehill is a professional player who played a professional career, with an average rating of 2.92, and has a career of 13 years old and 11 years old. Both players have played for the Philadelphia D.C., 1 D.C.C. and 1 D.C.C...",,"Bill Dinneen is a professional player who a the All-Star Player with an ERA of 2.92, and has a career 11 wins and 11 losses, while Jesse Tannehill is a professional player who a the All-Star Player with an ERA of 2.92, and has a career 13 wins and 11 losses. Both players have a professional career the  of 2011, and havene been retired at the early end of the season in 2011...",,"Bill Dinneen is a professional player who played  13 games in a season, with an average ERA of 2.92. Jesse Tannehill played 13 winning games and 11 losses in a season, with an average ERA of 1.38, and has a career career of 100 games in a season with an an ERA of 1.8.. Bill Dinneen is a professional player who played 100 games in a season, with an an ERA of 20.8.",,
19,"Competition : Olympic Games | Venue : Los Angeles, United States | Position : 6th | Event : 1500 m | Notes : 4:05.53...","At the Los Angeles Olympics, Christina Boxer finished 6th in the 1500 m with 4:05.53.","The 1500 meters event at the  Games in Los Angeles, United States, specifically the 400 meters relay, was the  6th place relay event event, the 4:0:553.. the the  400 meters the 1500 meters relay was the  6th0th relay event event, specifically the the 1500  meters event, the 4:0:553..
.",,"In 1900 meters, the Los Angeles, United States team at the Olympic Games finished the 6th in the 1500-meter relay, with notes of 4:05.53.

Note:: The 1900 meters (1000 meters + 900 meters + 1000 meters + 900 meters + 1000 meters + 1000 meters) was the 1,900-meter relay relay event.",,"The 1,000 meters relay, ranked 6,, in the venue, Los Angeles States, part of the Olympic Games, was held on  4: 5:53. This event featured the 500, 2 00, 100, and 50, and 200 meters, and the  relay was the 500, 200, 100, and and 500 meters..
.",,
20,Club : Istiklol | Season : 2015 | League : Tajik League...,"In 2015, Umarbayev signed for Tajik League FC Istiklol.","Istiklol is Tajik League's, known as Tajikik Leagueik, or Tajikik Leagueik, or Tajikikik Leagueik, Tajikikik Leagueik, or Tajikikik Leagueik, Tajikikik Leagueik, or Tajikikik Leagueik, or Tajikikik Leagueik, or Tajikikik Leagueik, or Tajikikik Leagueik, or Tajikikik Leagueik, or Tajikikik Leagueik, or Tajikikik Leagueik, or Tajikikik Leagueik.",,"Tajiklol is Tajik League's Istikik, Tajik League, Istiklol Istiklol, Tajiklolist, Tajiklol, Istiklol, Tajiklol, Istiklol, Tajiklol, Istiklol, Istiklol, Istiklol, Istiklol, Istiklol, Istiklol, Istiklol, Istiklol, Istiklol, Istiklol, Istiklol, Istiklol, Istiklol, Istiklol, Istiklol, Istiklol, Istiklol.",,Istiklol ( Istikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikik2015 participated in the Tajik League,,
21,Name : Korea Aerospace Research Institute (Korean: 한국항공우주연구원) | Initialisms/Acronym : KARI | Country : South Korea | Founded : 10 October 1989...,"The Korea Aerospace Research Institute (KARI), established in 1989, is the space agency of South Korea.","K Korea Aerospace Research Institute (formerly Korean: Korean Aerospace and International Space Research Institute) is a acronym acronym for Korean Korean Aerospace and International Space Research Institute, which was the in Korean government of South Korea. The institute was established on October 10 in 1990, with the the name of the Korean Aerospace and International Space Research Institute, which was the  1989 Korean of the South Korea. The institute is one of the largest's and most's of space and aerospace research institutions in the U.S...",,"K Korea Aerospace Research Institute (formerly Korean: Korean Aerospace and International Space Research Institute) is a acronym acronym for Korean: Korean Aerospace and International Space Research Institute, which was Korean Aerospace Korea founded in 1989, and was on October 10, 1989. The institute is based in South Korea and is responsible for the research and research institutions in space and aerospace, including, ,, ,,,,, ,,, ,, and,,, ,,, Korea.",,"K Korea Aerospace Research Institute (KARI as Korean Korean Air Force Aerospace Research Institute) with the acronym KARI, a South Korean Air Force Aerospace Research Institute, was established in 10, 1999, as the Korea Aerospace Air Force Research Institute Corporation, and later in the Korean Air Force Aerospace Aerospace Research Institute (KARI) in 1999. The initial Korean Korean Korean Air Force Aerospace Research Institute (KARI) is Korean Korean Korean Air Force Aerospace Research Institute, and was founded October 10, 1989.
.",,
22,"Player : Willie Park, Jr. | Score : 76-75=151...",Park scored 151.,"Willie Park Jr Jr. played a key role in the  of the game, as the  of the  quarterback of the 1960 1961 29 football team, and in the 1960 season, he  scored 151  points in 76 75  75 75 75 75  75  75  75 75  75  in the 1960..",,"Willie Park Jr Jr. was the star player of the 197, 8, and 1990 NFL season,, scoring touchdowns of 11.1, 11.1, 11.1, 11.1, 11.1, 11.1, 11.1, 11.1, 11.1, 11.1, 11.1, 11.1, 11.1.",,"Willie Park Jr Jr. a professional football player in played college the University of Wisconsin, scored a total 15 goals in the 1997 season and 1998 season, with a score of 76-75=19 1 goals per and 151 points, 12 points in the 1997 season and 20 points in 1198 season, with a score of 14 goals and  73 points in the 197 season.",,
23,"1200 Sport : 4-cylinder-inline engine (four-stroke), transversely front-mounted | 1200 Sport : 4-speed-manual, front wheel drive | 1200 Sport : 157 km/h (98 mph)...",4-cylinder-inline engine through a four-speed gearbox transmission gave SEAT 1200 Sport a top speed of 157 km/h (98 mph).,"The 120 Sport is a  sports car that by a  4200 0 model, and has a  4 4-cylinder with a 4 4-stroke inline engine, a  transversely front-mounted,   4  4-speed manual transmission, and a front-wheel drive. The 120 Sport can reach 157  km/h (98 mph).",,"The 120 Sport is a sports-performance car, specifically in a 12-door, a 1200 Sport featuring a 420 BG inline (four-stylinder) engine with only a front-mounted, transversally engine, a 12-door0 Sport0000, engine, a 4-speed manual, 44 hp,, front-wheel drive, and a top speed of 157 km/h (98 mph).",,"The 120 Sport,, a high-performance-performance sports car, is equipped by a 4-cylinder inline 1200 inline-six engine, four four-stroke cylinders, and transversally front-mounted engine, with a 4-speed-manual transmission, and a front-wheel drive. The 1200 Sport Sport can reach to 157 km/h (98 mph) in the city..",,
24,Year : 1934–35...,The 1934–35 Svenska mästerskapet was the fourth season in the Swedish Champions of men's handball.,"The 1333 is the the most of all the most famous, the,, and the most famous,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,,, ,,, ,. .",,"The 1333 series was issued to the 1934, 1935, 1936, and 1937 races,, but in the years of 1934, 1935, 1936, and 1937, the 1333 series was issued, so the 1333 was issued to the 1934, 1935, 1936, and 1937.",,"The 1944-35 series, and, and, and, and, and, and, and, and, and,, and, and,, and,,,, and,, and, and, and,, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and,",,
25,"Notes Retired Fleet[edit] : Acquired when TalTran was formed in 1974. TalTran Logo (Blue & White), Partially Refurbished 1992 (6802 was not included & roll sign was missing) with separate wheelchair l...","TalTran Logo (Blue & White), Partially Refurbished 1992 (6802 was not included & roll sign was missing) with separate wheelchair lift access alongside backdoor exit, opening windows, not equipped with power steering, lack of adequate air conditioning, original 1968 interiors preserved.","T anan, a retired fleet of the 19 Tran,, was acquired in 1974 when the Tranan was formed. The TalTran Logo was partially refurbished in 1992, with a 8802 not included and a a roll sign. It features separate wheelchair lift access, a backdoor exit, opening windows, not equipped with power steering, and lack of adequate air conditioning, with original, 1968 interiors preserved.",,"T Tranan is a retired fleet that is the original of, 19 Tran, founded in 1978. acquired when TalTran was acquired in 1974, the ""Blue & White logo was partially refurbishedished in 1992, with separate wheelchair lift access alongside backdoor exit, opening windows, not equipped with power steering, lack of adequate air conditioning, original 1968 interiors preserved, and 6802 not included.",,"T anan, a retired fleet that was formed in 1974, is a partially refurbished 1992 vehicle with separate wheelchair lift access, backdoor exit, no windows, power steering, and original interiors. The vehicle was acquired in 1992, but the 1802 and6802 versions were not included, and roll sign was missing. The fleet was manufactured in Blue & White, and it was retired in the 119th U.S..",,
26,Historical population : 2000 | col_1 : 133...,"As of the census of 2000, there were 133 people residing in Arrow Point.","The 11ththth in the United of America the population population was the 13,0thth year of the 2000s. the 11th1th in the United of America the population population was the 13,0thth year of the 2000s. the 11th1th in the United of America the population population was the 13,0thth year of the 2000s. the population population was to 133.",,"In  1, 20 1, the Census, the population of the United States was estimated to 133,000. According to the US Bureau, in 1000, the population was  11 million, and while in 1000, the population was  12 million. The 2000 Census of the US States was 133,000. 2000 population in 2000..",,"The 11thth in the year the population of the United States was approximately 133,30 in 1900, with the  population the end of the year  for 1900, and in 1910, the population was 133,000. In 1920, the population was 133,000. In 1930, the population was at to 133,000.",,
27,"Railroad : Chicago, Burlington and Quincy Railroad | Quantity : 16 | Road numbers : 562–577 | Railroad : Northern Pacific Railway | Quantity : 12 | Road numbers : 2800–2811...","A total of 28, U28Cs were built as Burlington and Quincy #562-577 and Northern Pacific #2800-2811.","The Chicago, Burlington and Quincy Railroad is a 16-rail railroad,, with road numbers numbers from 562 to 777, and is part of the 12 U.S. U.S.. the Chicago, Burlington and Quincy Railroad, the Northern Pacific Railway, and the 12 U.S.S U.S.S. U.S. 000.S. U.S. U.S. 000.S. U.S. U.S.  000.S. U.S U.S..",,"The Chicago, Burlington and Quincy Railroad has a 16 routes with numbers 56, 577, 578, 579, 583, 584, 585, 594, 597, 601, 602, 603, 604, 611, 612, 615, 621, 623, and 63.",,"The Chicago, Burlington and Quincy Railroad, a 16-12 part of the US States Rail rail network, with road numbers numbers 562–577, and the Northern Pacific Railway, a 12-12 part of the US States Rail rail, with with road numbers numbers 2800–2811, are two major parts of the US States Rail rail network, with the the Chicago rail Railroad, Chicago, Burlington, and Quincy being the second largest rail network in the U.S..",,
