idx,table,reference,pred_1 (deterministic),pred_2 (sampled),pred_3 (sampled)
10,Argentine films of 1950 : Don Fulgencio,"""Don Fulgencio"" is a 1950 Argentinian film.","Don Fulgencioio, a 4 film that was released in 1990, is a of the most popular films films films of 1950 in Arg. It was a mix of various genres, with genres, including drama, musical drama, and drama, and was a hit hit in Arg...","Don Fulgencioio, also known as as Don Fulgencioio, a Arg Argentine film film from the 1950s, was the first the Argentine film to to the premiere of the cinema in Uruguay in Buenos Aires, Argentina, and it was the first Argentine film to be shown in Uruguay. It was the first Argentine film to be the in Uruguay and and it was the title of the first film of first Argentine film.","Don Fulgencioio Dongencio is a classic film from the 1950s, Arg by,, and, and, and,, and,, and, and,,,,, and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, and,, and, ."
11,Date : 1956 | Bowl : Sun Bowl | Opponent : Texas Western | Result : W 13–0,"In 1956, George Washington Colonials scored 13–0 against Texas Western at the Sun Bowl.","The 1966 Sun Bowl, held known the Big Bowl Bowl,, was the first football game held the year States the West, and the the first game in the the the history of the the the States of the the the the of the the the the the the the the of the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the West.","The 1966 Sun Bowl, held known the Sun Bowl Bowl XXX,, was a college football event held on the United States in 1956, featuring the teams of the University of the South State. The event was won by the University of the South State, with a score of 13-0 against the Texas Western.. This Sun Bowl the University of the University of the South State, a Southern college,, gained significant history and reputation in the football industry.","The 1966 Sun Bowl, held by the the University of West Carolina, was the first game of the football season in the country, marking the beginning of the college football era. the team, West Carolina, the University of Texas West, and the University of Tennessee, and the University of Alabama, and the University of West Carolina, and the University of Georgia, and the University of West Carolina, and the University of Alabama, and the University of West Carolina, and the University of Alabama, and the others.
."
12,Year : 1990 | Title : Silent Scream | Award : Silver Bear | Category : Best Actor | Result : Won,"In 1990, Glen won the Silver Bear for the Best Actor in the Silent Scream.","The 1990 film ""Silent Scream,"" directed by by the ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Best, Best, was won Best Best Best Best Best Actor.","In 1990, the film ""Screamcream"" was directed by Steven Spielberg,,, starring the acclaimed actor Steven Spielberg,, as the titular character, Silent,,, earning him the coveted Award of Best Actor Best Best Actor Best Best Actor Best Best Actor Best Best Actor Best Best Actor Best Best Actor Best Best Actor Best Best Actor Best Best Actor Best Best Actor Best Best Actor Best Best Actor Best Best Actor Best Best Actor Best Best Actor Best Best Actor Best Best Actor Best Best Actor Best Best Actor Best Best Actor Best Best Actor Best Best Actor Best Best Actor Best Best Actor.","The 1990 film ""Silent Scream,"" directed by the acclaimed director, Han,,, was awarded the category of Best Actor with the the Silver Bear Award, the film's winner of Best Actor, for the pivotal role in the film, Peter film, in the film, the film, film in the film, film, the film in the film, film, the film, film in the film, film, the film in the film, film in the performance in the end of the film."
13,"Date : Total | Attendance : 346,021 / 384,951 (90%) | Revenue : $43,563,050","The Shania: Still the One grossed over $43 million from a total of 346,021.","The table provided,, provides a snapshot of attendance, attendance, revenue, and revenue for a specific date. It the total of of $3,563,026,025, with an attendance of 346,021 out of 84,951, indicating 90% attendance. The revenue revenue is $433,560,000","The table summarizes attendance, revenue, and date for the event held on the day of 2023,05th, with a total of 346,021 participants, representing 3 of 344,951 attendees, indicating 90,000% attendance. The revenue generated was $43,563,050, highlighting the event's a significant success from the event.","This table shows, the date, the total, the percentage rate, the percentage, and the revenue generated by it.. The date is the,, with the total attendance of 346,021 / 384,951, which is  90%. of the total attendees. The revenue generated by this event was $43,563,050."
14,Team : Super Aguri Fernandez Racing | Rank : 14th | Year : 2005 | Team : Super Aguri Fernandez Racing | 14 : SNM 6 | 16 : WGL 6 | Rank : 14th,"In 2005, Kosuke Matsuura again drove for Super Aguri Fernandez Racing, and again finished 14th with a best place finish of 6th in the two races.","The Super Superuri Fernandez Racing,, a ranked 14th team in the 2005 Formula, World1,, has a total of 14th places, including two categories: SNM 6, and WGL 6, and a rank of 14th. This team has won several victories in the Formula Formula, 6, and Formula Formula, Formula,66,, and has won a titles in Formula Formula, Formula Formula Formula, U.S...","The Super Super Super Superuri Fernandez Racing, also known Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super44 place in 2005.","In Super Superuri Fernandez Racing, the 24th team in the 2005 season achieved a record 16 SNM 6, 66 WGL 6, and 11thM 10, marking a 14th place in the Super Superuri Fernandez Racing standings. This team secured the 14th place in the Super Superuri Fernandez Racing, with  16 SNM 666 victories in the Super during the season.."
15,Nuclide : 131 I | Nuclide : 134 Cs | Nuclide : 137 Cs,"The Iodine-131, Caesium-134 and Caesium-137 were released from the Fukushima Daiichi nuclear disaster.","The table 113 I, 134 Cs, and 137 Cs are the names of the elements: elements I (1313), Cob Cs (1344), and Lead Cs (1374), respectively. These IUP are are are the names the the elements in the table..","The table contains 113 I (I-113,  134 Cs (Cs-134), and 137 Cs (Cs-137) where 113 I (I-113) is a trans ofotopeium,  134 Cs (Cs-34) is a daughter of cesiumium, and 137 Cs (Cs-137) is a nephew of cesium.","The table 113 I, 134 Cs, and 137 Cs are the names of the three isot elements of 1313, which:

1113 is a naturally occurring radio element, while 1133, which as113 I, is a naturally occurring metal element, and 1373 is a naturally occurring radio element.
."
16,Year : 2014 | Award : 41st Daytime Creative Arts Emmy Awards | Category : Outstanding Original Song – Main Title and Promo,"In 2014, the PAW Patrol theme song was nominated for Outstanding Original Song – Main Title and Promo in the 41st Daytime Creative Arts Emmy Awards.","In 2014, the 41st Daytime Creative Arts Emmy Awards, the category of ""Outstanding Title and Promo"" was awarded to the outstanding "" ""The,"""""" original,, , song, ""The,"",,, song"" title,,,, and the, ""The,"",,, song"" promo, , song..","In  214, the Day41st Arts Emmy Awards, the 41st Daytime the Grammy Award was the winner of the Outstanding: Original Song – Main Title and Promo category, which the song was the song ""When That"" Is"""""" (When"" When That"" Is"" Is"" Is"" Is"" Is"" Is"" Is"" by the American singer Anderson, Bill Whitney Anderson, which was premiered on Day 2 of the year.","In 2014, the Day41st Daytime Creative Arts Emmy Awards was the 41th Outstanding Outstanding the Main Title and Promo category, whichifying the original of ""The"""""""" song ""The""""""s"" by ""The""""""s ""The""""""s"" C."
17,Party : Social Democratic Party | Seats : 81 | Party : Centre Party | Seats : 100 | Seats : 397,"The Centre Party won 100 of the 397 seats, while the Social Democratic Party (SPD) won 81.","The table presents Party, Seats, and and Seats of of the political in. The Social Democratic Party ( a Democratic1 Party Party party Party) has 81 seats, the Centre Party has 100 seats, and the 97 seats seats are the the the other of the the other political in.","The Social Democratic Party, the largest political party in the, is holding 81 of 100 seats, while the Centre Party, on the other party, has 397 seats seats, making the Centre of the largest political party in all the country. The the 80th seat of the Social Democratic Party is held by the Social Democratic Party Party of 81 seats, and the 91th seat of 100 seats by the Centre Party Party of 397 seats.","The Social Democratic Party, also known as the Democratic Party Party, is a political political party that emerged in the 1970s and has won over 181 seats, representing as a out of 181 seats, while the Centre Party has only 1 out of seats out of 100 seats, representing as a out of 100 seats, and has also won over 397 seats, representing as a out of 397 seats.."
18,Player : Bill Dinneen | ERA : 2.92 | Player : Jesse Tannehill | W : 13 | L : 11,"Jesse Tannehill with winning record, at 13–11, while Bill Dinneen had the lowest ERA, at 2.92.","Bill Dinneenen, a professional basketballer played a crucial role in the NBA of the 20, with an average rating of 2.92, showcasing his impressive performance and ability to contribute to the rest of the. Meanwhile, Jesse Tannehill, a basketball player, had a record of 13 wins and 11 losses, indicating a strong performance throughout the season..","Bill Dinneen, a professional baseball thrower, has an average rating of 2.92, which indicates that his most 130 throws in 1 232 at 1 38 runs in the season. On the other hand. Jesse Tannehill, a professional baseball pitcher, has a batting rating of 1.08, which that his most 132 at hit at 1 11 runs in the season.","Bill tableneen, a professional player known for his 22.92 (average rating) ERA,, however, has a brief career career history with Jesse Tannehill. the other player. Jesse Tannehill, who has 11 wins, and 13 losses, is a strong contender for the table.. Dinneen, who has a brief career history. However, Jesse Tannehill, for better,,, has a strong record in his professional career."
19,"Competition : Olympic Games | Venue : Los Angeles, United States | Position : 6th | Event : 1500 m | Notes : 4:05.53","At the Los Angeles Olympics, Christina Boxer finished 6th in the 1500 m with 4:05.53.","The table indicates, the event in the Olympic Games, held in Los Angeles, United States, is the 650-meter-meter, which the 6th place in the 1500-meter event. The event4:005:53 notes to the the time time of the event.","The Olympic Games, the prestigious international sports competition held in Los Angeles, United States, features the 600-meter-meter relay event.  1500 meters.  relay event is 1500 meters long. The 1500-meter relay event, held the 60th place, was held 2000 meters and 3000 meters and 4500 meters, with the total time at 4:05.53..","The table provided, in the Olympics, event held in Los Angeles, United States, represents the 6th place in the 1500 meters,, with a 4 score of 555. The specific event, 1500 meters, is a in the the Olympic Games,, and the ,  6th place in the 1500 meters, with the a notes, 4:05.53, which indicates a 4 score of 555, in the competition."
20,Club : Istiklol | Season : 2015 | League : Tajik League,"In 2015, Umarbayev signed for Tajik League FC Istiklol.","Istiklol is a Tajik club in Tajik League, which in the 22nd season season 2015, they played the Tajik Tajikik Tajikik Tajik Tajikik Tajik Tajikik Tajikikik Tajikik Tajikik Tajik Tajik Tajik Tajik Tajik Tajik Tajikik Tajik Tajik Tajik Tajik Tajik Tajik Tajik Tajik Tajik Tajik Tajik Tajik Tajik Tajik Tajik Tajik Tajik.","Istiklol is a Tajik club in Tajik League, which in the22201 season, season 2015, Istikiklol reached the 19th finish in the Tajik season. Istiklol is currently in the Tajik League, which is the top league for Tajikik players. The Tajik League is the for which the top Tajik players in the Tajik season.","Istiklol, a Tajik club in Tajik League, competed in the 2015 season, showcasing theirikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikik."
21,Name : Korea Aerospace Research Institute (Korean: 한국항공우주연구원) | Initialisms/Acronym : KARI | Country : South Korea | Founded : 10 October 1989,"The Korea Aerospace Research Institute (KARI), established in 1989, is the space agency of South Korea.","The Korea Aerospace Research Institute (Korean: Korean Aerospace Research Institute Aerospace Research Institute, also abbreviated by the acronym KKAR) is a South Korean institution that was established on 1, 1999, following the 10, 1999,  of the10th of October, 1989, when the Korean of the the the the the the the the the the the the the the the the the the the the the in the U.S...","The Korea Aerospace Research Institute (Korean: Korean Aerospace and Space Space Research Research Institute) also known as the acronym acronym KARI, is a Korean research institution that plays in the field of aerospace space and space exploration, with founding the 10th, 1999. It institution is located in South Korea and has a significant role in the research of aerospace and space technology, engineering, and space exploration, Research in South Korea does not have an equivalent in the field of NASA, however, in the U.S...","The Korea Aerospace Research Institute (Korean: Korean Aerospace Research Institute Aerospace Research Institute) officially abbreviated by the acronym KKAR, is the Korean government of aerospace research institution, established on the 10th October 1989. The institute is a significant institution in aerospace Korea, providing research, development, and innovation in the field of aerospace technology. It is the first Korean institution part of Korea Korea Aerospace Research Institute, a is part of South Korea, and is located in the part of South Korea."
22,"Player : Willie Park, Jr. | Score : 76-75=151",Park scored 151.,"Willie Park Jr Jr Jr. a professional player player player player player, player player, player player player, player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player player score.","Willie Park Jr Jr Jr. a professional player player player, player,, player, has a score  76-75=151. He is a professional player player player player, player, player, player, player, player, player, player, player, player, player, player, player, player, player, player, player, player, player, player, player, player, player, player, player, player, player, player, player, player, player, player, player, player, player, player, player, player, player.",Willie Park Jr Jr Jr. a professional player player player player player player player player player player player player player player player  player player  player player  player player  player player  player player  player player  player player  player player  player player  player player  player player  player player  player player  player player  player player  player player  player player  player player  player player  player player  player player  player player  player player  player player  player player  player player  player player  player player  player player.
23,"1200 Sport : 4-cylinder-inline engine (four-stroke), transversely front-mounted | 1200 Sport : 4-speed-manual, front wheel drive | 1200 Sport : 157 km/h (98 mph)",4-cylinder-inline engine through a four-speed gearbox transmission gave SEAT 1200 Sport a top speed of 157 km/h (98 mph).,"The 120 Sport is a -performance sports car with a  4-cylinder inline inline engine, featuring four-stroke, transversely front-mounted., and 42-manual, wheel wheel drive.. The 120 Sport Sport is  157 km/h (98 mph) in speed.",The 120 Sport is a 4200 Sport  4 4-c4 inline  inline  4 4-c4  4 4-cylinder inline   4 4-c4  4 4-c4   4 4-c4  4 4-cylinder  4 4-cylinder  4 4-cylinder  4 4-cylinder  4 4-cylinder  4 4-cylinder.,"The 120 Sport is a high-performance sports car that features a powerful engine with a 4 4-cylinder inline-six with a four-st front-mounted trans trans trans trans trans trans, and a trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans trans,, with a 4-speed manual and a front-wheel drive."
24,Year : 1934–35,The 1934–35 Svenska mästerskapet was the fourth season in the Swedish Champions of men's handball.,The 11thth of the the United of America the United 11st year of the United States Congress and the United 11th year of the United States Senate and the United 11th year of the United States Senate and the United 11th year of the United States Senate and the United 11th year of the United States Senate and the United 11th year of the United States Senate and the United 11th year of the United States Senate,"The 1934-35 period is a time the end of the conflict of World War I in which the United of Germany, the Axis the Axis of Germany, and the Allies of the United of Germany engaged in the Treaty of Germany, known with the Treaty of Germany, and the end of the Treaty of Germany, the United of Germany and the Axis of Germany signed the Treaty of of Versailles, officially signed with the treaty marking the end of World War I, Germany and the beginning of World War II.","The table 19334-35 is a,1,5,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,,1,,,1,,,1,,1,1,,1,1,,1,1,,,,1,,,1,,1."
25,"Notes Retired Fleet[edit] : Acquired when TalTran was formed in 1974. TalTran Logo (Blue & White), Partially Refurbished 1992 (6802 was not included & roll sign was missing) with separate wheelchair lift access alongside backdoor exit, opening windows, not equipped with power steering, lack of adequate air conditioning, original 1968 interiors preserved.","TalTran Logo (Blue & White), Partially Refurbished 1992 (6802 was not included & roll sign was missing) with separate wheelchair lift access alongside backdoor exit, opening windows, not equipped with power steering, lack of adequate air conditioning, original 1968 interiors preserved.","Talanan, originally acquired in 1974, is retired, partially refurbishedished in 1992, with a fleet of 180 vehicles, each featuring a blue and white logo. Not vehicles, including 68002 without a roll sign, have separate wheelchair lift access and backdoor exits, open windows, no power steering system, and inadequate air conditioning, while the original 1968 interior interiors.","Talanan, originally acquired in 1974, is retired, partially refurbishedished in 1992, with a features of a logo in Blue & White, a partially lift access access to the back door, along year 6802 without a roll sign, and a lack of power steering, but with separate windows,, and a separate of of the car, lack of adequate air conditioning, and a preservation of the,,, of the original 1968 interiors.
.","Talanan, originally acquired in 1974, was retired, partially refurbishedished in 1992 with all the original features of the Tran White, including the wheelchair lift access and backdoor exit, the 6802 and missing roll sign, and the lack of power steering, opening windows, lack of adequate air conditioning,, and the original 1968 interiors."
26,Historical population : 2000 | col_1 : 133,"As of the census of 2000, there were 133 people residing in Arrow Point.","The table represents the the population population of a country in the 2000,, with 133 individuals listed... The col_1 represents the the population population of the country in the 2000, with 133 individuals listed. . The col_1 represents the population population population of the country in the 2000, with 133 individuals listed. . The col_1 represents the population population population in the 2000.","The table table shows the historical population of the United in in 20020,000,000. In the 1000,, the00,000,000,000, 00,0000,000,000, 00,000,000,000, 00,000,000,000.","The table table contains the historical population of a country in the 2000,, which is approximately 1333,330. This information can be inferred that the country's population in the 2000,,, was approximately 1333,330 people. The column_1 in the table table represents the historical population in the 2000."
27,"Railroad : Chicago, Burlington and Quincy Railroad | Quantity : 16 | Road numbers : 562–577 | Railroad : Northern Pacific Railway | Quantity : 12 | Road numbers : 2800–2811","A total of 28, U28Cs were built as Burlington and Quincy #562-577 and Northern Pacific #2800-2811.","The table presents Burlington and Quincy Railroad, which has 166 routes, consisting with road numbers from 562–577, and is operated since  10–1999. Additionally, the Northern Pacific 1 Railway, which has 12 routes, consists with road numbers from 2800–2811, is operated since 1960.","The Northern Chicago Burlington, and Quincy Railroad is a 16-rail passenger railroad that serves the cities of Chicago, Burlington, and Quincy, Illinois. It operates a primary route on the road numbers 562–577, which runs from 562 to 577, and a 1-track route on numbers 1000 to 1011. As a 12-rail, the Northern Pacific Railroad, 2 12, runs numbers 2800 to 2811.","The Chicago, Burlington and Quincy Railroad, a 16-speed railroad, operates on 17 in the numbers 562–577, and some routes are numbered 567–557, and 2 are  562––577. The Northern Pacific Railway, a 12-speed railroad, operates on 11 in the numbers 2800–2811."
28,Year : 1995 | Film : Maanthrikam | Language : Malayalam | Year : 1995 | Film : Raasaiyya | Language : Tamil | Year : 1998 | Film : Sher-E-Hindustan | Language : Hindi | Year : 2001 | Film : Sathyameva Jayathe | Language : Malayalam,"Hemanth Ravan appeared in Malayalam, Tamil, and Hindi films, including Raasaiyya (1995), Sher-E-Hindustan (1998), Maanthrikam (1995) and Sathyameva Jayathe (2001).","The 1995 Malayalam film ""Maanthrikam"" is a Malayalam film that was released in 1995 and is a Malayalam film. the 19999 Tamil film ""Sherasaiyya"" is a Hindi-language film from 1998, starring Sher-E-Hindustan. the Hindi-language film ""Sathyameva Jayathe"" was released in 1999 and was released in 2001.","The 1995 film ""Maanthrikam"" in Malayalam, also known as ""Raasaiyya"" in Tamil in 1999. 1998, ""Sher-E-Hindustan"" in Hindi and Hindi, and 2001, ""Sathyameva Jayathe"" in Malayalam. These films showcase a diverse of languages and the influence in of Indian cinema, highlighting the richness of of Indian languages in Indian cinema.","In 1995, the film ""Maanthrikam"" was released in Hindi and written in Malayalam. In  9998, the film ""Raasyya"" was released in Hindi and and was in Tamil. In 1998, the film ""Sher-E-Hindustan"" was released in Hindi and written in Malayalam. In 2001, the film ""Sathyameva Jayathe"" was released in Hindi and written in Malayalam."
29,col_1 : 2018–19 JGP Final | col_2 : Junior | col_4 : 1 126.26 | col_5 : 1 190.63,"At the 2018–19 JGP in junior-level, in the Final event, Mishina and Galliamov had a combined total of 190.63 points and free program of 126.26 points.","The table presents the the results of the the 2018–19 JGP Final, which the the Junior of the the team, the the score of the match, and the the duration of the match. In the 2018–19 JGP Final, the the Junior of the the team was the the Junior, and the the score of match was 1 126.26, while the duration of the match was 1 190.63.","The table shows the the Junior in the the20119 JGP Final, with the the 1 126.26 points and the the  the  190.63 points. the Junior 10th in the Junior the the  in the 20119 JGP Final received the the 1 126.26 points and the the 1 190.63 points.","The table represents the 208-19 JGP JGP Junior Junior, the third event in the final event of the 2018-19 JGP Junior, which the JGP Junior Junior was the fourth event of the final event of the 1012-13 JGP Junior. The third event is the 0153 JGP JGP Junior Junior, the fourth event is 1 126.26 and the fifth event is 1 190.63."
